job_id,job_title,company_name,industry,company_size,city,city_full,education,experience,salary_range,salary_low,salary_high,salary_level,required_skills,is_full_time,is_headhunter,publish_date
JOB00001,高级数据分析师,小米,通信/电子,10000人,北京,北京,硕士,3-5年,18K-25K,18000,25000,中级(15K-25K),增长分析|数据仓库|Excel|回归分析|Hive|Python|SQL|数据挖掘,全职,是,2025-06-23
JOB00002,数据分析师,途牛,旅游,1000人,合肥,安徽合肥,本科,3-5年,15K-25K,15000,25000,中级(15K-25K),竞品分析|Hive|机器学习|数据建模,兼职,是,2025-03-04
JOB00003,风控数据分析师,拼多多,互联网/IT,10000人,郑州,河南郑州,本科,5-10年,12K-18K,12000,18000,中级(15K-25K),增长分析|Spark|数据仓库,兼职,是,2025-01-18
JOB00004,高级数据分析师,蒙牛,消费品,50000人,佛山,广东佛山,硕士,3-5年,20K-30K,20000,30000,中高级(25K-40K),埋点分析|数据清洗|BI工具,全职,是,2025-03-15
JOB00005,资深数据分析师,自如,房产,5000人,成都,四川成都,本科,5-10年,40K-60K,40000,60000,高级(40K以上),指标体系|Excel|用户画像|NLP|SPSS|数据仓库|数据清洗|增长分析,全职,否,2025-02-22
JOB00006,用户数据分析师,饿了么,本地生活,10000人,上海,上海,本科,不限,8K-12K,8000,12000,中初级(8K-15K),R|回归分析|竞品分析,全职,否,2025-04-21
JOB00007,用户数据分析师,猿辅导,教育,10000人,杭州,浙江杭州,本科,1-3年,12K-18K,12000,18000,中级(15K-25K),回归分析|Hive|NLP|数据可视化|统计分析|数据清洗|Power BI|ETL,全职,否,2025-07-04
JOB00008,数据分析师(偏BI),海康威视,通信/电子,50000人,成都,四川成都,硕士,3-5年,5K-8K,5000,8000,初级(8K以下),Spark|ETL|数据建模|数据仓库|SQL|埋点分析|Tableau,全职,否,2025-03-25
JOB00009,增长数据分析师,58同城,本地生活,10000人,广州,广东广州,本科,1-3年,4K-6K,4000,6000,初级(8K以下),数据建模|ETL|BI工具|SPSS|深度学习|Tableau|指标体系|A/B测试,全职,否,2025-02-05
JOB00010,数据分析师,安居客,房产,5000人,成都,四川成都,本科,5-10年,12K-18K,12000,18000,中级(15K-25K),机器学习|大数据|SQL|Tableau|统计分析|A/B测试|数据清洗,全职,是,2025-01-03
JOB00011,策略数据分析师,微博,互联网/IT,5000人,深圳,广东深圳,博士,3-5年,6K-10K,6000,10000,中初级(8K-15K),数据仓库|SPSS|数据建模|ETL|用户画像|Hive,兼职,否,2025-07-24
JOB00012,资深数据分析师,华泰证券,金融,10000人,苏州,江苏苏州,本科,3-5年,20K-30K,20000,30000,中高级(25K-40K),Spark|Tableau|数据清洗|数据挖掘|Excel|机器学习|SQL,全职,否,2025-06-02
JOB00013,商业数据分析师,360数科,金融,5000人,深圳,广东深圳,硕士,5-10年,6K-10K,6000,10000,中初级(8K-15K),埋点分析|大数据|R|数据仓库|Power BI,全职,否,2025-05-16
JOB00014,数据分析师(偏BI),联合利华,消费品,50000人,青岛,山东青岛,硕士,1-3年,6K-10K,6000,10000,中初级(8K-15K),Hive|Spark|NLP|增长分析|Python,兼职,否,2025-01-02
JOB00015,数据分析师(偏运营),比亚迪,汽车,50000人,长沙,湖南长沙,硕士,1-3年,8K-12K,8000,12000,中初级(8K-15K),Power BI|Hive|SPSS|数据建模|Spark|数据清洗,全职,否,2025-07-28
JOB00016,高级数据分析师,蚂蚁集团,互联网/IT,10000人,上海,上海,硕士,3-5年,18K-25K,18000,25000,中级(15K-25K),SPSS|Hive|大数据|R,全职,否,2025-04-09
JOB00017,数据分析师(偏运营),猿辅导,教育,10000人,苏州,江苏苏州,本科,10年以上,40K-60K,40000,60000,高级(40K以上),竞品分析|大数据|Power BI|R|A/B测试|BI工具|Python|回归分析,全职,否,2025-03-02
JOB00018,数据分析师,网易,互联网/IT,50000人,东莞,广东东莞,本科,10年以上,12K-18K,12000,18000,中级(15K-25K),Excel|SPSS|NLP|用户画像|数据挖掘|埋点分析|数据清洗,兼职,否,2025-05-08
JOB00019,产品数据分析师,百度,互联网/IT,50000人,佛山,广东佛山,本科,3-5年,12K-18K,12000,18000,中级(15K-25K),R|埋点分析|竞品分析|机器学习|数据清洗,全职,是,2025-06-10
